Population,Predation.Treatment,Generation,Cage.ID,Day,Date,Terraria,Time,X,Y,Estimate,Notes,Distance
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,12H 0M 0S,2,16,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,12H 20M 0S,9,21,NA,,8.602325267
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,12H 40M 0S,1,1,NA,,21.54065923
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,13H 0M 0S,2,15,NA,,14.03566885
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,13H 20M 0S,8,21,NA,,8.485281374
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,13H 40M 0S,5,15,NA,,6.708203932
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,14H 0M 0S,8,10,NA,,5.830951895
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,14H 20M 0S,2,12,NA,,6.32455532
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,14H 40M 0S,2,13,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,15H 0M 0S,2,14,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,15H 20M 0S,2,16,NA,,2
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,15H 40M 0S,2,16,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,16H 0M 0S,2,17,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,16H 20M 0S,2,18,NA,,1
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,16H 40M 0S,2,20,NA,,2
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,17H 0M 0S,2,20,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,17H 20M 0S,1,21,NA,,1.414213562
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,17H 40M 0S,1,21,NA,,0
DC,Predator,F1,S_DCN_P2,1,8/22/23,18,18H 0M 0S,1,21,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,7H 40M 0S,NA,NA,NA,,12.72792206
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,8H 0M 0S,NA,NA,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,8H 20M 0S,7,3,NA,,7.615773106
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,8H 40M 0S,7,3,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,9H 0M 0S,7,3,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,9H 20M 0S,4,1,NA,,3.605551275
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,9H 40M 0S,2,1,NA,,2
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,10H 0M 0S,2,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,10H 20M 0S,2,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,10H 40M 0S,7,1,NA,,5
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,11H 0M 0S,2,1,NA,,5
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,11H 20M 0S,9,16,NA,,16.55294536
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,11H 40M 0S,5,1,NA,,15.5241747
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,12H 0M 0S,3,1,NA,,2
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,12H 20M 0S,10,1,NA,,7
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,12H 40M 0S,10,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,13H 0M 0S,10,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,13H 20M 0S,10,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,13H 40M 0S,10,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,14H 0M 0S,10,12,NA,,11
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,14H 20M 0S,10,21,NA,,9
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,14H 40M 0S,7,1,NA,,20.22374842
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,15H 0M 0S,2,7,NA,,7.810249676
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,15H 20M 0S,2,7,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,15H 40M 0S,2,7,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,16H 0M 0S,2,7,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,16H 20M 0S,2,6,NA,,1
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,16H 40M 0S,2,6,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,17H 0M 0S,2,6,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,17H 20M 0S,3,1,NA,,5.099019514
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,17H 40M 0S,3,1,NA,,0
SC,Predator,F2,S_SCN_P7,1,8/22/23,27,18H 0M 0S,3,4,NA,,3
