Year,ProcessingID,Sample_ID,Replicate,Population,Site,CageTreatment,SampleType,Weight-mg,PercentN,PercentC,RatioCN,Note
2021,P_FNN_P5,FNN_P5,5,FN,UP,F2_Predator,POPRC,1.967,1.3,42.9,32.3,
2021,S_FNN_P5,FNN_P5,5,FN,UP,F2_Predator,SORU,1.806,2.3,48.3,20.8,
2023,FNN_P6 SORU (Plant),FNN_P6,1,FN,UP,F1_Predator,SORU,3.117,2.3,45.6,19.8,
2023,FNN_P6 POPRC (Plant),FNN_P6,1,FN,UP,F1_Predator,POPRC,3.059,0.9,42.4,45.3,
2023,FNN_P6 MISC (Plant),FNN_P6,1,FN,UP,F1_Predator,MISC,3.541,2.1,44.7,21.1,
2023,FNN_P6 LITTER (Plant),FNN_P6,1,FN,UP,F1_Predator,LITTER,3.337,0.7,46.4,59.5,
2023,FNN_P6 SOIL,FNN_P6,6,FN,UP,F1_Predator,SOIL,10.343,0.2,3.3,12.2,
2021,FNN_P6,FNN_P6,6,FN,UP,F1_Predator,SOIL,10.183,0.1,2.2,11.8,
2021,L_FNN_P6,FNN_P6,6,FN,UP,F1_Predator,LITTER,1.546,0.6,44.5,72.8,
2021,M_FNN_P6,FNN_P6,6,FN,UP,F1_Predator,MISC,1.618,2.8,48,17.1,
2021,P_FNN_P6,FNN_P6,6,FN,UP,F1_Predator,POPRC,1.602,2.4,44.3,17.8,
2021,S_FNN_P6,FNN_P6,6,FN,UP,F1_Predator,SORU,1.778,2.5,47,18.7,
2023,FNN_P7 SORU (Plant),FNN_P7,1,FN,UP,F1_Predator,SORU,2.963,2.1,46.1,21.5,
2023,FNN_P7 POPRC (Plant),FNN_P7,1,FN,UP,F1_Predator,POPRC,3.197,1.8,42.8,23,
2023,FNN_P7 MISC (Plant),FNN_P7,1,FN,UP,F1_Predator,MISC,3.035,0.9,45,45.7,
2023,FNN_P7 LITTER (Plant),FNN_P7,1,FN,UP,F1_Predator,LITTER,3.197,0.5,44.2,87.5,
2023,FNN_P7 SOIL,FNN_P7,7,FN,UP,F1_Predator,SOIL,10.244,0.2,3.3,12.1,
2021,FNN_P7,FNN_P7,7,FN,UP,F1_Predator,SOIL,10.34,0.2,3.1,11.6,
2021,L_FNN_P7,FNN_P7,7,FN,UP,F1_Predator,LITTER,1.768,0.9,44.1,47.7,
2021,M_FNN_P7,FNN_P7,7,FN,UP,F1_Predator,MISC,1.858,1.7,42.1,24,
2021,P_FNN_P7,FNN_P7,7,FN,UP,F1_Predator,POPRC,1.757,2.2,44.4,19.4,
2021,S_FNN_P7,FNN_P7,7,FN,UP,F1_Predator,SORU,2.022,1.9,46.9,24.4,
2023,SCN_H1 SOIL,SCN_H1,1,SC,UP,Herbivore,SOIL,10.601,0.2,3.6,12.5,
2023,SCN_H1 SORU (Plant),SCN_H1,1,SC,UP,Herbivore,SORU,3.163,2.5,46.8,18.7,
2023,SCN_H1 POPRC (Plant),SCN_H1,1,SC,UP,Herbivore,POPRC,3.272,1.4,44,30.5,
2023,SCN_H1 MISC (Plant),SCN_H1,1,SC,UP,Herbivore,MISC,3.166,2.1,46.9,22,
2023,SCN_H1 LITTER (Plant),SCN_H1,1,SC,UP,Herbivore,LITTER,2.985,1,41.9,41.9,
2021,L_SCN_H1,SCN_H1,1,SC,UP,Herbivore,LITTER,2.084,0.9,44.4,46.9,
2021,M_SCN_H1,SCN_H1,1,SC,UP,Herbivore,MISC,1.873,2.3,44.5,19,
2021,P_SCN_H1,SCN_H1,1,SC,UP,Herbivore,POPRC,1.83,2.8,43.7,15.2,
2021,S_SCN_H1,SCN_H1,1,SC,UP,Herbivore,SORU,1.94,1.8,46.3,24.8,
2021,SCN_H1,SCN_H1,1,SC,UP,Herbivore,SOIL,10.279,0.2,2.6,10.8,
2023,SCN_H7 SOIL,SCN_H7,7,SC,UP,Herbivore,SOIL,10.093,0.1,2.4,12.4,
2023,SCN_H7 SORU (Plant),SCN_H7,1,SC,UP,Herbivore,SORU,3.447,2.7,46.7,17.2,
2023,SCN_H7 POPRC (Plant),SCN_H7,1,SC,UP,Herbivore,POPRC,3.276,1.8,38.6,21.2,
2023,SCN_H7 MISC (Plant),SCN_H7,1,SC,UP,Herbivore,MISC,3.173,1.5,43,26.9,
2023,SCN_H7 LITTER (Plant),SCN_H7,1,SC,UP,Herbivore,LITTER,3.422,1.1,43.3,39.2,
